Div,kind,PARTS NO,Size,ENG_NAME,CURR_INV,miniAmount,location,JP stocks
BV,PARTS,BG5-5738-000,000,"FRONT GLASS UNIT,SI02 FPA-5500IZ",0,1,神岡,4
BW,PARTS,BG6-8279-000,000,FLEXIBLE CABLE UNIT,2,1,神岡,4
BW,PARTS,BG6-8996-000,000,"CABLE UNIT,FLEXIBLE",1,1,神岡,15
BW,PARTS,BG6-9001-000,000,"CABLE UNIT,FLEXIBLE",2,1,神岡,3
BW,PARTS,BG6-9227-000,000,"PCB ASS'Y,IF IL",3,2,神岡,18
BW,PARTS,BG6-9814-000,000,"CABLE UNIT,FLEXIBLE",6,6,神岡,0
BW,PARTS,BH0-4554-000,000,PHOTO SWITCH,1,1,神岡,0
BV,PARTS,BH2-0951-000,000,"LINEAR MOTOR ,DC 10-37.5W",4,2,神岡,4
BV,PARTS,BH2-0958-000,000,"LINEAR MOTOR,DC 10W UNDER",1,1,神岡,3
BV,PARTS,BH2-8105-000,000,"MOTOR VALVE, FLUID CONTROL",3,2,神岡,0
BV,PARTS,BH2-8112-000,000,"PUMP, DA-60DC ULVAC",1,1,神岡,0
BV,PARTS,BH3-3301-000,000,"LAMP, HALOGEN",27,0,神岡,0
BV,PARTS,BH5-2182-000,000,"MEASUREMENT BOARD, (2_AXES) (六項管制品)",1,0,神岡,0
BV,PARTS,BH5-2183-000,000,"MEASUREMENT BOARD, (1_AXIS) (六項管制品)",0,2,神岡,0
BV,PARTS,BH5-2290-000,000,"DSP BOARD, C-RACK",4,2,神岡,2
BV,PARTS,BH5-2305-000,000,"SCH_ROBOT UNIT, (RQZ DRIVE)",0,2,神岡,0
BV,PARTS,BH5-2306-000,000,"X-DRIVE UNIT, SCH_ROBOT",2,2,神岡,0
BV,PARTS,BH5-2307-000,000,"CONTROLLER UNIT, (SCH_ROBOT)",2,2,神岡,0
BV,PARTS,BH5-2308-000,000,"CABLE, SCH_ROBOT",2,2,神岡,0
BV,PARTS,BH5-3690-000,000,"DRIVE UNIT,MOTOR (WX DRIVE)",1,1,神岡,2
BV,PARTS,BH5-3695-000,000,DRIVER UNIT,1,1,神岡,0
BV,PARTS,BH5-3704-000,000,SERVO AMPLIFIER,0,0,神岡,0
BV,PARTS,BH5-3728-000,000,DRIVER PCB ASS'Y,1,1,神岡,7
BW,PARTS,BH5-3754-000,000,"DRIVER UNIT,TYPE J",2,2,神岡,0
BV,PARTS,BH5-3831-000,000,"AMPLIFIER,SERVO MOTOR",1,1,神岡,0
BV,PARTS,BH5-3840-000,000,"POWER SUPPLY,TYPE-J",3,2,神岡,121
BV,PARTS,BH5-3886-000,000,UPS UNIT,2,1,神岡,0
BV,PARTS,BH5-3887-000,000,"POWER SUPPLY UNIT, HV-PDU",3,2,神岡,39
BW,PARTS,BH5-6314-Z00,000,"LASER HEAD, 7702",6,5,神岡,0
BV,PARTS,BH6-5338-000,000,"CABLE ASS'Y, RH-2",1,1,神岡,2
BV,PARTS,BH6-7763-000,000,"CABLE ASS'Y, L=1200",4,3,神岡,5
BV,PARTS,BH6-7764-000,000,"CABLE ASS'Y, L=1500",3,3,神岡,0
BV,PARTS,BH6-7765-000,000,"CABLE ASS'Y, L=400",3,3,神岡,0
BW,PARTS,BH9-0585-000,000,"RACK MODULE, VME SUB",3,1,神岡,3
BW,PARTS,BM0-0604-000,000,"FLEXIBLE CABLE UNIT,Y3 MPA-7800",10,3,神岡,1
BW,PARTS,BM1-0222-000,000,PCB ASSY MXS CONT,0,0,神岡,0
BW,PARTS,BM1-0816-000,000,"FLEXIBLE CABLE UNIT,MS2",3,2,神岡,0
BW,PARTS,BM1-0817-000,000,"FLEXIBLE CABLE UNIT,MS3",3,2,神岡,1
BW,PARTS,BM1-0818-000,000,"FLEXIBLE CABLE UNIT,MS4",3,2,神岡,1
BW,PARTS,BM1-1016-000,000,"MOTOR UNIT,DC 10W UNDER",4,3,神岡,2
BW,PARTS,BM1-2077-000,000,"PCB ASSY,IL CONTROLLER2",0,2,神岡,0
BW,PARTS,BM1-2107-000,000,"PCB ASS'Y,POWER DST2",1,2,神岡,0
BW,PARTS,BM1-2229-000,000,POWER SUPPLY UNIT,2,2,神岡,1
BW,PARTS,BM1-2288-000,000,"FLEXIBLE CABLE UNIT,MS1",6,2,神岡,4
BW,PARTS,BM1-2289-000,000,"FLEXIBLE CABLE UNIT,MS4",5,2,神岡,10
BW,PARTS,BM1-2348-Z00,000,LASER HEAD,7,5,神岡,0
BW,PARTS,BM1-2467-000,000,"PCB ASS'Y,XY",2,1,神岡,1
BW,PARTS,BM1-2469-000,000,"PCB ASS'Y,PL DIST-L",2,1,神岡,4
BW,PARTS,BM1-2470-000,000,"PCB ASS'Y,PL DIST-R",1,1,神岡,0
BW,PARTS,BM1-2471-000,000,"FLEXIBLE CABLE UNIT,X1",2,2,神岡,1
BW,PARTS,BM1-2472-000,000,"FLEXIBLE CABLE UNIT,X2",6,2,神岡,3
BW,PARTS,BM1-2473-000,000,"FLEXIBLE CABLE UNIT,X3",4,2,神岡,4
BW,PARTS,BM1-2477-000,000,"FLEXIBLE CABLE UNIT,Y1",2,2,神岡,12
BW,PARTS,BM1-2479-000,000,"FLEXIBLE CABLE UNIT,Y3",4,2,神岡,7
BW,PARTS,BM1-2480-000,000,"FLEXIBLE CABLE UNIT,Y4",4,2,神岡,2
BW,PARTS,BM1-2664-000,000,"PCB ASS'Y,DRACK3",2,1,神岡,1
BW,PARTS,BM1-2685-000,000,"PCB ASS'Y,LASER-DIST",2,2,神岡,0
BW,PARTS,BM1-2846-000,000,"FLEXIBLE CABLE UNIT,MS2",3,2,神岡,2
BW,PARTS,BM1-2847-000,000,FLEXIBLE CABLE UNIT MS3,4,2,神岡,10
BW,PARTS,BM1-2909-000,000,"PCB ASS'Y,MS CONT MODULE",0,1,神岡,0
BW,PARTS,BM1-2925-000,000,"ENCODER UNIT,ROTARY,YMB-B",2,1,神岡,2
BW,PARTS,BM1-3187-000,000,"PCB ASS'Y,M8-IP3 MODULE",0,1,神岡,0
BW,PARTS,BM1-3217-000,000,"PCB ASS'Y,UM CONT MODULE",2,1,神岡,1
BW,PARTS,BM1-3273-000,000,SAFETY PLC UNIT,2,2,神岡,4
BW,PARTS,BM1-3344-000,000,"FLEXIBLE CABLE UNIT,X4",3,2,神岡,2
BW,PARTS,BM1-3345-000,000,"FLEXIBLE CABLE UNIT,Y6",5,2,神岡,2
BW,PARTS,BM1-3346-000,000,"PCB ASSY,JUNC",2,1,神岡,0
BW,PARTS,BM1-3374-000,000,"MOTOR UNIT,DC 10-37.5W",3,2,神岡,1
